"栏舍","实际牛头数","应上料量(kg)","总上料量(kg)","日期"
"[1]",96,5987,5963,"2019-3-26"
"[2]",95,5700,5713,"2019-3-26"
"[3]",96,4995,4988,"2019-3-26"
"[4]",96,4878,4860,"2019-3-26"
"[5]",96,5397,5410,"2019-3-26"
"[6]",96,5533,5587,"2019-3-26"
"[61]",89,5714,5715,"2019-3-26"
"[62]",76,3758,3770,"2019-3-26"
"[63]",43,2276,2228,"2019-3-26"
"[64]",44,2654,2694,"2019-3-26"
"[65]",32,1714,1696,"2019-3-26"
"[66]",28,1729,1699,"2019-3-26"
"[67]",77,3604,3594,"2019-3-26"
"[68]",83,4618,4549,"2019-3-26"
"[7]",92,4438,4403,"2019-3-26"
"[8]",118,5563,5501,"2019-3-26"
"[1]",96,7184,5913,"2019-3-27"
"[2]",95,6840,5703,"2019-3-27"
"[3]",96,6095,5063,"2019-3-27"
"[4]",94,5666,4703,"2019-3-27"
"[5]",96,6476,5387,"2019-3-27"
"[6]",96,6549,5459,"2019-3-27"
"[61]",90,4898,4887,"2019-3-27"
"[62]",76,4150,4148,"2019-3-27"
"[63]",43,2739,2710,"2019-3-27"
"[64]",44,2635,2666,"2019-3-27"
"[65]",32,1714,1690,"2019-3-27"
"[66]",32,1878,1853,"2019-3-27"
"[67]",77,3582,4094,"2019-3-27"
"[68]",83,4618,4053,"2019-3-27"
"[7]",92,4528,4490,"2019-3-27"
"[8]",118,5650,2824,"2019-3-27"
"[1]",96,7184,6038,"2019-3-28"
"[2]",96,6900,5813,"2019-3-28"
"[3]",96,6095,5128,"2019-3-28"
"[4]",96,5769,4889,"2019-3-28"
"[5]",96,6476,5438,"2019-3-28"
"[6]",96,6485,5452,"2019-3-28"
"[61]",85,5212,5186,"2019-3-28"
"[62]",81,4247,4224,"2019-3-28"
"[63]",43,2343,2332,"2019-3-28"
"[64]",44,2572,2538,"2019-3-28"
"[65]",32,1714,1703,"2019-3-28"
"[66]",32,1976,1994,"2019-3-28"
"[67]",77,3504,3549,"2019-3-28"
"[68]",86,4728,4773,"2019-3-28"
"[7]",96,4689,4577,"2019-3-28"
"[8]",120,5790,5746,"2019-3-28"
"[1]",96,5987,6005,"2019-3-29"
"[2]",96,5796,5861,"2019-3-29"
"[3]",96,5116,5206,"2019-3-29"
"[4]",96,4807,4863,"2019-3-29"
"[5]",96,5470,5489,"2019-3-29"
"[6]",96,5470,5505,"2019-3-29"
"[61]",85,5128,5134,"2019-3-29"
"[62]",81,4332,4292,"2019-3-29"
"[63]",38,2540,2518,"2019-3-29"
"[64]",43,2552,2499,"2019-3-29"
"[65]",32,1714,1698,"2019-3-29"
"[66]",32,1976,1927,"2019-3-29"
"[67]",76,3469,3456,"2019-3-29"
"[68]",86,4865,4827,"2019-3-29"
"[7]",96,4806,4766,"2019-3-29"
"[8]",120,5790,5734,"2019-3-29"
"[1]",96,5818,5805,"2019-5-8"
"[2]",94,5242,5219,"2019-5-8"
"[3]",94,4947,4935,"2019-5-8"
"[4]",90,4807,4878,"2019-5-8"
"[5]",93,5011,5054,"2019-5-8"
"[6]",93,5327,5348,"2019-5-8"
"[61]",83,4934,4884,"2019-5-8"
"[62]",81,4558,4631,"2019-5-8"
"[63]",28,1251,1281,"2019-5-8"
"[64]",38,2460,2462,"2019-5-8"
"[65]",33,2127,2092,"2019-5-8"
"[66]",34,2105,2081,"2019-5-8"
"[67]",76,3494,3461,"2019-5-8"
"[68]",90,5043,5041,"2019-5-8"
"[7]",95,4811,4893,"2019-5-8"
"[8]",120,5443,5357,"2019-5-8"
"[1]",95,5672,5693,"2019-6-14"
"[2]",95,5201,5191,"2019-6-14"
"[3]",91,4596,4551,"2019-6-14"
"[4]",85,4366,4334,"2019-6-14"
"[5]",91,4947,4872,"2019-6-14"
"[6]",95,5163,5125,"2019-6-14"
"[61]",81,4883,4880,"2019-6-14"
"[62]",82,4364,4336,"2019-6-14"
"[63]",28,1283,1304,"2019-6-14"
"[64]",33,2019,1971,"2019-6-14"
"[65]",31,1833,1818,"2019-6-14"
"[66]",31,1868,1828,"2019-6-14"
"[67]",60,3005,2980,"2019-6-14"
"[68]",80,4535,4495,"2019-6-14"
"[7]",84,4157,4123,"2019-6-14"
"[8]",92,3605,3497,"2019-6-14"
